Species,Marker,Site_Code,Latitude,Longitude,n_biosamples_positive,total_biosamples_at_site,n_pcrs_positive,total_pcrs_at_site,total_reads,mean_reads_per_pcr,min_reads_in_pcr,max_reads_in_pcr,min_reads_per_+_pcr,max_reads_per_+_pcr,mean_prop_per_pcr,min_prop_in_pcr,max_prop_in_pcr,theta,reliability,n_gbif_records,nearest_distance_km,nearest_year,nearest_country,assessment
Watersipora subtorquata,COI,Greece_7,35.342288,25.126918,3,3,8,8,5024,628,292,898,292,898,0.0033514081367970066,0.0013854489898558564,0.004368065452882777,1,Reliable,1000,1488.5,2021,Slovenia,POTENTIALLY NOVEL - nearest record >500km
Hydroides elegans,18S,Greece_4,40.84350295,25.87771352,3,3,9,9,13443,1493.7,519,2253,519,2253,0.010528822368692098,0.008395748742255366,0.013090313284372967,1,Reliable,46,192.2,1976,Greece,Range edge (100-200km)
Bugula neritina,COI,Greece_4,40.84350295,25.87771352,3,3,9,9,5179,575.4,485,785,485,785,0.0034947628559901865,0.0031543967918847677,0.0039964566448091885,1,Reliable,2,184.6,2015,Greece,Range edge (100-200km)
Hydroides elegans,18S,Italy_1,42.17381554,14.71406582,3,3,8,8,71253,8906.6,276,21461,276,21461,0.20257164815697473,0.12411556603773585,0.244430713193925,1,Reliable,69,168.5,1964,Italy,Range edge (100-200km)
Amathia verticillata,12S,Italy_1,42.17381554,14.71406582,2,3,6,6,3380,563.3,71,1307,71,1307,0.017054814509423442,0.001665064140146807,0.040461890904587954,0.6666666666666666,Reliable,36,154.1,1915,Italy,Range edge (100-200km)
Amphibalanus improvisus,COI,Netherlands_1,53.444,6.827,2,3,5,5,823,164.6,12,443,12,443,0.00223034984782323,0.0015896982233958349,0.002708145267689744,0.6666666666666666,Reliable,500,149.8,2025,Germany,Range edge (100-200km)
Hydroides elegans,18S,Italy_2,39.992002,9.694242,3,3,7,7,3657,522.4,36,1470,36,1470,0.0056139366036642374,0.0013184620318568935,0.012689201186635196,1,Reliable,44,104,2010,Italy,Range edge (100-200km)
Watersipora subatra,12S,Portugal_3,41.369754,-8.764095,3,3,9,9,9659,1073.2,209,2605,209,2605,0.008664902609919494,0.002780795133608516,0.016472114137483788,1,Reliable,5,100.6,2023,Portugal,Range edge (100-200km)
Watersipora subtorquata,COI,Greece_8,35.341906,25.125946,2,3,4,4,1313,328.2,100,714,100,714,0.0036151259670874625,0.0014311679761853649,0.004963805584281282,0.6666666666666666,Marginal,1000,1488.5,2021,Slovenia,POTENTIALLY NOVEL - nearest record >500km
Watersipora subatra,12S,Spain_7,41.374323,2.182994,2,3,2,2,173,86.5,79,94,79,94,0.009345108890955075,0.005220482061535044,0.013469735720375107,0.6666666666666666,Marginal,129,259.5,2022,France,Possible range expansion (200-500km)
Watersipora subatra,12S,Spain_5,41.410585,2.228813,2,3,2,2,105,52.5,16,89,16,89,0.0017700708743254787,0.0010253781081773904,0.0025147636404735667,0.6666666666666666,Marginal,129,254.1,2022,France,Possible range expansion (200-500km)
Pseudodiaptomus marinus,18S,Netherlands_3,52.102959,4.258417,2,3,4,4,1184,296,161,430,161,430,0.0024783763176801582,0.001427767559441323,0.0035338345864661656,0.6666666666666666,Marginal,500,216.4,2022,United Kingdom of Great Britain and Northern Ireland,Possible range expansion (200-500km)
Watersipora subatra,12S,Portugal_4,41.814701,-8.868088,2,3,2,2,127,63.5,33,94,33,94,0.0013285818927460209,0.0012133415943824865,0.0014438221911095555,0.6666666666666666,Marginal,5,150.2,2023,Portugal,Range edge (100-200km)
Neogobius melanostomus,12S,UK_1,55.2055707,-6.6597624,1,3,1,1,14,14,14,14,14,14,0.004628099173553719,0.004628099173553719,0.004628099173553719,0.3333333333333333,Unreliable,1000,774.8,2025,Belgium,POTENTIALLY NOVEL - nearest record >500km
Neogobius melanostomus,12S,Norway_4,69.6339517,18.9024303,1,3,1,1,23,23,23,23,23,23,0.003489607039902898,0.003489607039902898,0.003489607039902898,0.3333333333333333,Unreliable,1000,765.8,2025,Finland,POTENTIALLY NOVEL - nearest record >500km
Watersipora subtorquata,COI,Italy_2,39.992002,9.694242,1,3,1,1,251,251,251,251,251,251,0.001423911501914622,0.001423911501914622,0.001423911501914622,0.3333333333333333,Unreliable,1000,627.5,2025,France,POTENTIALLY NOVEL - nearest record >500km
Watersipora subatra,12S,Spain_2,41.396076,2.210727,1,3,1,1,4,4,4,4,4,4,0.003872216844143272,0.003872216844143272,0.003872216844143272,0.3333333333333333,Unreliable,129,256.3,2022,France,Possible range expansion (200-500km)
Hydroides elegans,18S,Italy_4,38.71573117,16.12483559,1,3,3,3,1785,595,332,727,332,727,0.011257475504729471,0.010058466568760565,0.013553233180927498,0.3333333333333333,Unreliable,46,213.6,2018,Italy,Possible range expansion (200-500km)
