"Domain","Phylum","Class","Order","Family","Genus","Species","Denmark","Finland","France","Germany","Greece","Italy","Netherlands","Norway","Poland","Portugal","Spain","Ukraine","United Kingdom","environment_type","OTU","is_non_marine","Marker"
NA,"Chordata","Actinopteri","Perciformes","Percidae","Perca","Perca fluviatilis","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","Brackish|Freshwater","otu148",TRUE,"12S"
NA,"Chordata","Actinopteri","Cypriniformes","Cyprinidae","Cyprinus","Cyprinus carpio","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","Brackish|Freshwater","otu568",TRUE,"12S"
NA,"Chordata","Actinopteri","Cypriniformes","Leuciscidae","Abramis","Abramis brama","YES","YES","YES","YES","YES","YES","YES","YES","YES","NO","YES","YES","YES","Brackish|Freshwater","otu74",TRUE,"12S"
NA,"Chordata","Actinopteri","Perciformes","Percidae","Gymnocephalus","Gymnocephalus cernua","YES","YES","YES","YES","NO","YES","YES","YES","YES","NO","YES","YES","YES","Brackish|Freshwater","otu795",TRUE,"12S"
NA,"Mollusca","Gastropoda","Littorinimorpha","Tateidae","Potamopyrgus","Potamopyrgus antipodarum","YES","YES","YES","YES","NO","YES","YES","YES","YES","YES","YES","YES","YES","Brackish|Freshwater","otu394",TRUE,"12S"
NA,"Mollusca","Gastropoda","Littorinimorpha","Tateidae","Potamopyrgus","Potamopyrgus antipodarum","YES","YES","YES","YES","NO","YES","YES","YES","YES","YES","YES","YES","YES","Brackish|Freshwater","otu718",TRUE,"12S"
NA,"Arthropoda","Branchiopoda","Diplostraca","Polyphemidae","Polyphemus","Polyphemus pediculus","YES","YES","YES","YES","NO","NO","YES","YES","NO","NO","NO","YES","YES","Brackish|Freshwater","otu21",TRUE,"12S"
NA,"Mollusca","Bivalvia","Myida","Dreissenidae","Mytilopsis","Mytilopsis leucophaeata","NO","YES","YES","YES","NO","YES","YES","NO","YES","NO","YES","YES","YES","Brackish|Freshwater","otu492",TRUE,"12S"
NA,"Chordata","Actinopteri","Cypriniformes","Leuciscidae","Rutilus","Rutilus rutilus","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","Brackish|Freshwater","otu51",TRUE,"12S"
NA,"Mollusca","Bivalvia","Myida","Dreissenidae","Dreissena","Dreissena polymorpha","YES","YES","YES","YES","NO","YES","YES","NO","YES","NO","YES","YES","YES","Brackish|Freshwater","otu1143",TRUE,"12S"
NA,"Chordata","Actinopteri","Gobiiformes","Gobiidae","Proterorhinus","Proterorhinus semilunaris","NO","NO","YES","YES","YES","NO","YES","NO","YES","NO","NO","YES","NO","Brackish|Freshwater","otu682",TRUE,"12S"
NA,"Mollusca","Bivalvia","Unionida","Unionidae","Anodonta","Anodonta anatina","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","Brackish|Freshwater","otu2657",TRUE,"12S"
NA,"Chordata","Actinopteri","Cypriniformes","Leuciscidae","Leuciscus","Leuciscus aspius","NO","YES","YES","YES","YES","YES","YES","YES","YES","NO","NO","YES","YES","Brackish|Freshwater","otu851",TRUE,"12S"
NA,"Chordata","Actinopteri","Siluriformes","Siluridae","Silurus","Silurus glanis","YES","YES","YES","YES","YES","YES","YES","NO","YES","YES","YES","YES","YES","Brackish|Freshwater","otu927",TRUE,"12S"
NA,"Chordata","Actinopteri","Cypriniformes","Tincidae","Tinca","Tinca tinca","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","Brackish|Freshwater","otu1010",TRUE,"12S"
NA,"Mollusca","Bivalvia","Unionida","Unionidae","Anodonta","Anodonta anatina","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","Brackish|Freshwater","otu1250",TRUE,"12S"
NA,"Mollusca","Bivalvia","Venerida","Cyrenidae","Corbicula","Corbicula fluminea","NO","NO","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","NA|Freshwater","otu69",TRUE,"18S"
NA,NA,"Cryptophyceae","Cryptomonadales","Cryptomonadaceae","Cryptomonas","Cryptomonas ovata","NO","YES","YES","YES","NO","YES","YES","YES","YES","YES","YES","YES","YES","Brackish|Freshwater","otu2099",TRUE,"18S"
NA,"Cnidaria","Hydrozoa","Anthoathecata","Cordylophoridae","Cordylophora","Cordylophora caspia","YES","YES","YES","YES","NO","NO","YES","YES","YES","YES","YES","YES","YES","Brackish|Freshwater","otu1570",TRUE,"COI"
